accession	reference	antibiotic	mic	mic_numeric
SRR1661180	Demczuk2015	spectinomycin	16	16
SRR1661180	Demczuk2015	tetracycline	0.25	0.25
SRR1661183	Demczuk2015	azithromycin	1	1
SRR1661183	Demczuk2015	cefixime	0.032	0.032
SRR1661183	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661183	Demczuk2015	ciprofloxacin	16	16
SRR1661183	Demczuk2015	penicillin	2	2
SRR1661183	Demczuk2015	spectinomycin	16	16
SRR1661183	Demczuk2015	tetracycline	4	4
SRR1661184	Demczuk2015	azithromycin	0.5	0.5
SRR1661184	Demczuk2015	cefixime	0.016	0.016
SRR1661184	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661184	Demczuk2015	ciprofloxacin	4	4
SRR1661184	Demczuk2015	penicillin	1	1
SRR1661184	Demczuk2015	spectinomycin	16	16
SRR1661184	Demczuk2015	tetracycline	2	2
SRR1661185	Demczuk2015	azithromycin	0.25	0.25
SRR1661185	Demczuk2015	cefixime	0.25	0.25
SRR1661185	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661185	Demczuk2015	ciprofloxacin	16	16
SRR1661185	Demczuk2015	penicillin	2	2
SRR1661185	Demczuk2015	spectinomycin	16	16
SRR1661185	Demczuk2015	tetracycline	4	4
SRR1661186	Demczuk2015	azithromycin	0.25	0.25
SRR1661186	Demczuk2015	cefixime	0.016	0.016
SRR1661186	Demczuk2015	ceftriaxone	0.016	0.016
SRR1661186	Demczuk2015	ciprofloxacin	4	4
SRR1661186	Demczuk2015	penicillin	1	1
SRR1661186	Demczuk2015	spectinomycin	16	16
SRR1661186	Demczuk2015	tetracycline	1	1
SRR1661187	Demczuk2015	azithromycin	0.25	0.25
SRR1661187	Demczuk2015	cefixime	0.063	0.063
SRR1661187	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661187	Demczuk2015	ciprofloxacin	8	8
SRR1661187	Demczuk2015	penicillin	1	1
SRR1661187	Demczuk2015	spectinomycin	32	32
SRR1661187	Demczuk2015	tetracycline	4	4
SRR1661188	Demczuk2015	azithromycin	0.25	0.25
SRR1661188	Demczuk2015	cefixime	0.063	0.063
SRR1661188	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661188	Demczuk2015	ciprofloxacin	16	16
SRR1661188	Demczuk2015	penicillin	2	2
SRR1661188	Demczuk2015	spectinomycin	32	32
SRR1661188	Demczuk2015	tetracycline	8	8
SRR1661189	Demczuk2015	azithromycin	0.25	0.25
SRR1661189	Demczuk2015	cefixime	0.016	0.016
SRR1661189	Demczuk2015	ceftriaxone	0.008	0.008
SRR1661189	Demczuk2015	ciprofloxacin	4	4
SRR1661189	Demczuk2015	penicillin	1	1
SRR1661189	Demczuk2015	spectinomycin	16	16
SRR1661189	Demczuk2015	tetracycline	1	1
SRR1661190	Demczuk2015	azithromycin	0.25	0.25
SRR1661190	Demczuk2015	cefixime	0.063	0.063
SRR1661190	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661190	Demczuk2015	ciprofloxacin	16	16
SRR1661190	Demczuk2015	penicillin	2	2
SRR1661190	Demczuk2015	spectinomycin	16	16
SRR1661190	Demczuk2015	tetracycline	2	2
SRR1661191	Demczuk2015	azithromycin	0.25	0.25
SRR1661191	Demczuk2015	cefixime	0.063	0.063
SRR1661191	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661191	Demczuk2015	ciprofloxacin	16	16
SRR1661191	Demczuk2015	penicillin	2	2
SRR1661191	Demczuk2015	spectinomycin	16	16
SRR1661191	Demczuk2015	tetracycline	4	4
SRR1661192	Demczuk2015	azithromycin	0.25	0.25
SRR1661192	Demczuk2015	cefixime	0.063	0.063
SRR1661192	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661192	Demczuk2015	ciprofloxacin	32	32
SRR1661192	Demczuk2015	penicillin	2	2
SRR1661192	Demczuk2015	spectinomycin	32	32
SRR1661192	Demczuk2015	tetracycline	4	4
SRR1661193	Demczuk2015	azithromycin	0.032	0.032
SRR1661193	Demczuk2015	cefixime	0.032	0.032
SRR1661193	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661193	Demczuk2015	ciprofloxacin	4	4
SRR1661193	Demczuk2015	penicillin	0.25	0.25
SRR1661193	Demczuk2015	spectinomycin	16	16
SRR1661193	Demczuk2015	tetracycline	1	1
SRR1661194	Demczuk2015	azithromycin	0.25	0.25
SRR1661194	Demczuk2015	cefixime	0.125	0.125
SRR1661194	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661194	Demczuk2015	ciprofloxacin	0.016	0.016
SRR1661194	Demczuk2015	penicillin	1	1
SRR1661194	Demczuk2015	spectinomycin	32	32
SRR1661194	Demczuk2015	tetracycline	2	2
SRR1661195	Demczuk2015	azithromycin	0.25	0.25
SRR1661195	Demczuk2015	cefixime	0.5	0.5
SRR1661195	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661195	Demczuk2015	ciprofloxacin	64	64
SRR1661195	Demczuk2015	penicillin	1	1
SRR1661195	Demczuk2015	spectinomycin	16	16
SRR1661195	Demczuk2015	tetracycline	2	2
SRR1661196	Demczuk2015	azithromycin	0.5	0.5
SRR1661196	Demczuk2015	cefixime	0.125	0.125
SRR1661196	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661196	Demczuk2015	ciprofloxacin	16	16
SRR1661196	Demczuk2015	penicillin	2	2
SRR1661196	Demczuk2015	spectinomycin	16	16
SRR1661196	Demczuk2015	tetracycline	4	4
SRR1661197	Demczuk2015	azithromycin	0.5	0.5
SRR1661197	Demczuk2015	cefixime	0.125	0.125
SRR1661197	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661197	Demczuk2015	ciprofloxacin	16	16
SRR1661197	Demczuk2015	penicillin	2	2
SRR1661197	Demczuk2015	spectinomycin	16	16
SRR1661197	Demczuk2015	tetracycline	4	4
SRR1661198	Demczuk2015	azithromycin	0.5	0.5
SRR1661198	Demczuk2015	cefixime	0.125	0.125
SRR1661198	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661198	Demczuk2015	ciprofloxacin	16	16
SRR1661198	Demczuk2015	penicillin	2	2
SRR1661198	Demczuk2015	spectinomycin	16	16
SRR1661198	Demczuk2015	tetracycline	4	4
SRR1661199	Demczuk2015	azithromycin	0.5	0.5
SRR1661199	Demczuk2015	cefixime	0.032	0.032
SRR1661199	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661199	Demczuk2015	ciprofloxacin	4	4
SRR1661199	Demczuk2015	penicillin	2	2
SRR1661199	Demczuk2015	spectinomycin	16	16
SRR1661199	Demczuk2015	tetracycline	2	2
SRR1661200	Demczuk2015	azithromycin	0.5	0.5
SRR1661200	Demczuk2015	cefixime	0.032	0.032
SRR1661200	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661200	Demczuk2015	ciprofloxacin	16	16
SRR1661200	Demczuk2015	penicillin	4	4
SRR1661200	Demczuk2015	spectinomycin	16	16
SRR1661200	Demczuk2015	tetracycline	4	4
SRR1661201	Demczuk2015	azithromycin	0.5	0.5
SRR1661201	Demczuk2015	cefixime	0.25	0.25
SRR1661201	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661201	Demczuk2015	ciprofloxacin	16	16
SRR1661201	Demczuk2015	penicillin	2	2
SRR1661201	Demczuk2015	spectinomycin	16	16
SRR1661201	Demczuk2015	tetracycline	4	4
SRR1661202	Demczuk2015	azithromycin	0.5	0.5
SRR1661202	Demczuk2015	cefixime	0.032	0.032
SRR1661202	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661202	Demczuk2015	ciprofloxacin	16	16
SRR1661202	Demczuk2015	penicillin	2	2
SRR1661202	Demczuk2015	spectinomycin	16	16
SRR1661202	Demczuk2015	tetracycline	4	4
SRR1661203	Demczuk2015	azithromycin	0.5	0.5
SRR1661203	Demczuk2015	cefixime	0.125	0.125
SRR1661203	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661203	Demczuk2015	ciprofloxacin	16	16
SRR1661203	Demczuk2015	penicillin	1	1
SRR1661203	Demczuk2015	spectinomycin	32	32
SRR1661203	Demczuk2015	tetracycline	2	2
SRR1661204	Demczuk2015	azithromycin	0.5	0.5
SRR1661204	Demczuk2015	cefixime	0.125	0.125
SRR1661204	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661204	Demczuk2015	ciprofloxacin	32	32
SRR1661204	Demczuk2015	penicillin	4	4
SRR1661204	Demczuk2015	spectinomycin	32	32
SRR1661204	Demczuk2015	tetracycline	8	8
SRR1661205	Demczuk2015	azithromycin	0.5	0.5
SRR1661205	Demczuk2015	cefixime	0.125	0.125
SRR1661205	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661205	Demczuk2015	ciprofloxacin	16	16
SRR1661205	Demczuk2015	penicillin	8	8
SRR1661205	Demczuk2015	spectinomycin	32	32
SRR1661205	Demczuk2015	tetracycline	2	2
SRR1661206	Demczuk2015	azithromycin	0.5	0.5
SRR1661206	Demczuk2015	cefixime	0.25	0.25
SRR1661206	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661206	Demczuk2015	ciprofloxacin	16	16
SRR1661206	Demczuk2015	penicillin	1	1
SRR1661206	Demczuk2015	spectinomycin	32	32
SRR1661206	Demczuk2015	tetracycline	4	4
SRR1661207	Demczuk2015	azithromycin	>=64	64
SRR1661207	Demczuk2015	cefixime	0.125	0.125
SRR1661207	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661207	Demczuk2015	ciprofloxacin	4	4
SRR1661207	Demczuk2015	penicillin	>=256	256
SRR1661207	Demczuk2015	spectinomycin	32	32
SRR1661207	Demczuk2015	tetracycline	64	64
SRR1661208	Demczuk2015	azithromycin	0.5	0.5
SRR1661208	Demczuk2015	cefixime	0.25	0.25
SRR1661208	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661208	Demczuk2015	ciprofloxacin	16	16
SRR1661208	Demczuk2015	penicillin	2	2
SRR1661208	Demczuk2015	spectinomycin	16	16
SRR1661208	Demczuk2015	tetracycline	4	4
SRR1661209	Demczuk2015	azithromycin	16	16
SRR1661209	Demczuk2015	cefixime	0.063	0.063
SRR1661209	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661209	Demczuk2015	ciprofloxacin	16	16
SRR1661209	Demczuk2015	penicillin	4	4
SRR1661209	Demczuk2015	spectinomycin	32	32
SRR1661209	Demczuk2015	tetracycline	4	4
SRR1661210	Demczuk2015	azithromycin	0.5	0.5
SRR1661210	Demczuk2015	cefixime	0.25	0.25
SRR1661210	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661210	Demczuk2015	ciprofloxacin	16	16
SRR1661210	Demczuk2015	penicillin	4	4
SRR1661210	Demczuk2015	spectinomycin	32	32
SRR1661210	Demczuk2015	tetracycline	4	4
SRR1661211	Demczuk2015	azithromycin	0.5	0.5
SRR1661211	Demczuk2015	cefixime	0.016	0.016
SRR1661211	Demczuk2015	ceftriaxone	0.016	0.016
SRR1661211	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661211	Demczuk2015	penicillin	0.5	0.5
SRR1661211	Demczuk2015	spectinomycin	16	16
SRR1661211	Demczuk2015	tetracycline	1	1
SRR1661212	Demczuk2015	azithromycin	0.5	0.5
SRR1661212	Demczuk2015	cefixime	0.25	0.25
SRR1661212	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661212	Demczuk2015	ciprofloxacin	16	16
SRR1661212	Demczuk2015	penicillin	4	4
SRR1661212	Demczuk2015	spectinomycin	16	16
SRR1661212	Demczuk2015	tetracycline	4	4
SRR1661213	Demczuk2015	azithromycin	0.5	0.5
SRR1661213	Demczuk2015	cefixime	0.25	0.25
SRR1661213	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661213	Demczuk2015	ciprofloxacin	16	16
SRR1661213	Demczuk2015	penicillin	4	4
SRR1661213	Demczuk2015	spectinomycin	32	32
SRR1661213	Demczuk2015	tetracycline	4	4
SRR1661214	Demczuk2015	azithromycin	0.25	0.25
SRR1661214	Demczuk2015	cefixime	0.032	0.032
SRR1661214	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661214	Demczuk2015	ciprofloxacin	16	16
SRR1661214	Demczuk2015	penicillin	2	2
SRR1661214	Demczuk2015	spectinomycin	16	16
SRR1661214	Demczuk2015	tetracycline	4	4
SRR1661215	Demczuk2015	azithromycin	0.25	0.25
SRR1661215	Demczuk2015	cefixime	0.125	0.125
SRR1661215	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661215	Demczuk2015	ciprofloxacin	8	8
SRR1661215	Demczuk2015	penicillin	1	1
SRR1661215	Demczuk2015	spectinomycin	16	16
SRR1661215	Demczuk2015	tetracycline	2	2
SRR1661217	Demczuk2015	azithromycin	0.25	0.25
SRR1661217	Demczuk2015	cefixime	0.125	0.125
SRR1661217	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661217	Demczuk2015	ciprofloxacin	16	16
SRR1661217	Demczuk2015	penicillin	2	2
SRR1661217	Demczuk2015	spectinomycin	16	16
SRR1661217	Demczuk2015	tetracycline	2	2
SRR1661219	Demczuk2015	azithromycin	0.032	0.032
SRR1661219	Demczuk2015	cefixime	0.008	0.008
SRR1661219	Demczuk2015	ceftriaxone	0.008	0.008
SRR1661219	Demczuk2015	ciprofloxacin	0.002	0.002
SRR1661219	Demczuk2015	penicillin	0.063	0.063
SRR1661219	Demczuk2015	spectinomycin	8	8
SRR1661219	Demczuk2015	tetracycline	0.125	0.125
SRR1661220	Demczuk2015	azithromycin	0.5	0.5
SRR1661220	Demczuk2015	cefixime	0.25	0.25
SRR1661220	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661220	Demczuk2015	ciprofloxacin	16	16
SRR1661220	Demczuk2015	penicillin	4	4
SRR1661220	Demczuk2015	spectinomycin	32	32
SRR1661220	Demczuk2015	tetracycline	4	4
SRR1661221	Demczuk2015	azithromycin	0.5	0.5
SRR1661221	Demczuk2015	cefixime	0.016	0.016
SRR1661221	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661221	Demczuk2015	ciprofloxacin	16	16
SRR1661221	Demczuk2015	penicillin	4	4
SRR1661221	Demczuk2015	spectinomycin	16	16
SRR1661221	Demczuk2015	tetracycline	4	4
SRR1661222	Demczuk2015	azithromycin	0.5	0.5
SRR1661222	Demczuk2015	cefixime	0.032	0.032
SRR1661222	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661222	Demczuk2015	ciprofloxacin	8	8
SRR1661222	Demczuk2015	penicillin	2	2
SRR1661222	Demczuk2015	spectinomycin	32	32
SRR1661222	Demczuk2015	tetracycline	2	2
SRR1661225	Demczuk2015	azithromycin	0.125	0.125
SRR1661225	Demczuk2015	cefixime	0.008	0.008
SRR1661225	Demczuk2015	ceftriaxone	0.004	0.004
SRR1661225	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661225	Demczuk2015	penicillin	0.5	0.5
SRR1661225	Demczuk2015	spectinomycin	16	16
SRR1661225	Demczuk2015	tetracycline	1	1
SRR1661226	Demczuk2015	azithromycin	0.25	0.25
SRR1661226	Demczuk2015	cefixime	0.016	0.016
SRR1661226	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661226	Demczuk2015	ciprofloxacin	8	8
SRR1661226	Demczuk2015	penicillin	2	2
SRR1661226	Demczuk2015	spectinomycin	16	16
SRR1661226	Demczuk2015	tetracycline	2	2
SRR1661227	Demczuk2015	azithromycin	>=256	256
SRR1661227	Demczuk2015	cefixime	0.063	0.063
SRR1661227	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661227	Demczuk2015	ciprofloxacin	32	32
SRR1661227	Demczuk2015	penicillin	4	4
SRR1661227	Demczuk2015	spectinomycin	32	32
SRR1661227	Demczuk2015	tetracycline	4	4
SRR1661228	Demczuk2015	azithromycin	0.5	0.5
SRR1661228	Demczuk2015	cefixime	0.063	0.063
SRR1661228	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661228	Demczuk2015	ciprofloxacin	4	4
SRR1661228	Demczuk2015	penicillin	1	1
SRR1661228	Demczuk2015	spectinomycin	32	32
SRR1661228	Demczuk2015	tetracycline	2	2
SRR1661230	Demczuk2015	azithromycin	0.25	0.25
SRR1661230	Demczuk2015	cefixime	0.125	0.125
SRR1661230	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661230	Demczuk2015	ciprofloxacin	16	16
SRR1661230	Demczuk2015	penicillin	2	2
SRR1661230	Demczuk2015	spectinomycin	16	16
SRR1661230	Demczuk2015	tetracycline	2	2
SRR1661231	Demczuk2015	azithromycin	0.5	0.5
SRR1661231	Demczuk2015	cefixime	0.125	0.125
SRR1661231	Demczuk2015	ceftriaxone	0.063	0.063
SRR1661231	Demczuk2015	ciprofloxacin	16	16
SRR1661231	Demczuk2015	penicillin	2	2
SRR1661231	Demczuk2015	spectinomycin	16	16
SRR1661231	Demczuk2015	tetracycline	4	4
SRR1661232	Demczuk2015	azithromycin	0.25	0.25
SRR1661232	Demczuk2015	cefixime	0.008	0.008
SRR1661232	Demczuk2015	ceftriaxone	0.004	0.004
SRR1661232	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661232	Demczuk2015	penicillin	0.125	0.125
SRR1661232	Demczuk2015	spectinomycin	32	32
SRR1661232	Demczuk2015	tetracycline	0.25	0.25
SRR1661233	Demczuk2015	azithromycin	0.5	0.5
SRR1661233	Demczuk2015	cefixime	0.25	0.25
SRR1661233	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661233	Demczuk2015	ciprofloxacin	16	16
SRR1661233	Demczuk2015	penicillin	2	2
SRR1661233	Demczuk2015	spectinomycin	16	16
SRR1661233	Demczuk2015	tetracycline	4	4
SRR1661234	Demczuk2015	azithromycin	0.125	0.125
SRR1661234	Demczuk2015	cefixime	0.004	0.004
SRR1661234	Demczuk2015	ceftriaxone	0.004	0.004
SRR1661234	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661234	Demczuk2015	penicillin	0.25	0.25
SRR1661234	Demczuk2015	spectinomycin	16	16
SRR1661234	Demczuk2015	tetracycline	0.25	0.25
